jp.co.media.active	2.4.1	15	-1	net.adcrops.sdk.AdcController	<init>	android.permission.READ_PHONE_STATE",	CUSTOM	<net.adcrops.sdk.AdcController: net.adcrops.sdk.AdcController initialize(android.content.Context)>, CUSTOM;<jp.co.media.active.Chop: void onCreate(android.os.Bundle)>, ACTIVITY;
com.fullfat.blockybasketball	1.1.65	4	23	net.hockeyapp.android.UpdateActivity	prepareDownload	android.permission.WRITE_EXTERNAL_STORAGE	ACTIVITY	<net.hockeyapp.android.UpdateActivity: void onClick(android.view.View)>, ACTIVITY;
com.yijia.green.jiukuaijiu	1.6.4	164	-1	com.mobclick.android.f	g	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<com.mobclick.android.f: org.json.JSONObject f(android.content.Context)>, CUSTOM;<com.feedback.c.d: org.json.JSONObject a(android.content.Context,java.lang.String,int,int)>, CUSTOM;<com.feedback.ui.f: void onClick(android.view.View)>, CUSTOM;
com.sysoft.lollivewallpapers	5.4	51	23	com.sysoft.lollivewallpapers.ThemeViewActivity	deleteTheme	android.permission.WRITE_EXTERNAL_STORAGE",android.permission.WRITE_EXTERNAL_STORAGE",android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE	ACTIVITY	<com.sysoft.lollivewallpapers.ThemeViewActivity: void onRequestPermissionsResult(int,java.lang.String[],int[])>, ACTIVITY;
com.sysoft.lollivewallpapers	5.4	51	23	com.sysoft.lollivewallpapers.ThemeViewActivity	d	android.permission.WRITE_EXTERNAL_STORAGE",android.permission.WRITE_EXTERNAL_STORAGE",android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE	ACTIVITY	<com.sysoft.lollivewallpapers.ThemeViewActivity: void onRequestPermissionsResult(int,java.lang.String[],int[])>, ACTIVITY;
com.sysoft.lollivewallpapers	5.4	51	23	com.sysoft.lollivewallpapers.az	onClick	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE	CUSTOM	
com.sysoft.lollivewallpapers	5.4	51	23	com.sysoft.lollivewallpapers.bg	onClick	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_EXTERNAL_STORAGE	CUSTOM	
net.xfok.info.mil	4.6	46	-1	com.umeng.common.b	j	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<com.umeng.fb.g: org.json.JSONObject c(android.content.Context)>, CUSTOM;<com.umeng.fb.util.b: org.json.JSONObject a(android.content.Context,java.lang.String,int,int,org.json.JSONObject,org.json.JSONObject)>, CUSTOM;<com.umeng.fb.ui.SendFeedback$b: void onClick(android.view.View)>, CUSTOM;
com.ishehui.exo	1.0.8	8	11	com.renren.api.connect.android.Renren	authorize	android.permission.INTERNET"	CUSTOM	<com.renren.api.connect.android.Renren: void authorize(android.app.Activity,java.lang.String[],com.renren.api.connect.android.view.RenrenAuthListener)>, CUSTOM;<com.renren.api.connect.android.Renren: void authorize(android.app.Activity,com.renren.api.connect.android.view.RenrenAuthListener)>, CUSTOM;<com.ishehui.widget.SNSView: void initRenren(android.content.Context)>, CUSTOM;<com.ishehui.widget.SNSView: void SNSLogin(int,android.app.Activity)>, CUSTOM;<com.ishehui.rabbit.FirstActivity$3: void onClick(android.view.View)>, ACTIVITY;
com.vtcreator.android360	3.8	10114	19	org.acra.collector.CrashReportDataFactory	createCrashData	android.permission.READ_PHONE_STATE",android.permission.READ_LOGS"	CUSTOM	<org.acra.ErrorReporter: void handleException(java.lang.Throwable,org.acra.ReportingInteractionMode,boolean,boolean)>, CUSTOM;<org.acra.ErrorReporter: void handleSilentException(java.lang.Throwable)>, CUSTOM;<com.vtcreator.android360.activities.StartActivity: void getDeviceFlagsAndSetPreferences(boolean)>, ACTIVITY;<com.vtcreator.android360.activities.StartActivity_: void access$801(com.vtcreator.android360.activities.StartActivity_,boolean)>, ACTIVITY;<com.vtcreator.android360.activities.StartActivity_$11: void execute()>, ACTIVITY;<org.androidannotations.api.BackgroundExecutor$Task: void run()>, CUSTOM;<org.androidannotations.api.BackgroundExecutor: java.util.concurrent.Future directExecute(java.lang.Runnable,int)>, CUSTOM;<org.androidannotations.api.BackgroundExecutor: void execute(org.androidannotations.api.BackgroundExecutor$Task)>, CUSTOM;<com.vtcreator.android360.activities.SignupActivity_: void postAnalytics(com.teliportme.api.models.AppAnalytics)>, ACTIVITY;<com.vtcreator.android360.activities.SignupActivity: void startCameraActivity()>, ACTIVITY;<com.vtcreator.android360.activities.SignupActivity: void onBackPressed()>, ACTIVITY;<com.vtcreator.android360.activities.SignupActivity_: boolean onKeyDown(int,android.view.KeyEvent)>, ACTIVITY;
