com.vtcreator.android360	3.6.2-v5	97	19	org.acra.collector.CrashReportDataFactory	createCrashData	android.permission.READ_PHONE_STATE",android.permission.READ_LOGS"	CUSTOM	<org.acra.ErrorReporter: void handleException(java.lang.Throwable,org.acra.ReportingInteractionMode,boolean,boolean)>, CUSTOM;<org.acra.ErrorReporter: void handleSilentException(java.lang.Throwable)>, CUSTOM;<com.vtcreator.android360.activities.StartActivity: void selectActivityToStart()>, ACTIVITY;<com.vtcreator.android360.activities.StartActivity_: void access$1201(com.vtcreator.android360.activities.StartActivity_)>, ACTIVITY;<com.vtcreator.android360.activities.StartActivity_$15: void run()>, ACTIVITY;<com.googlecode.androidannotations.api.BackgroundExecutor: void execute(java.lang.Runnable)>, CUSTOM;<com.vtcreator.android360.activities.SignupActivity_: void postAnalytics(com.teliportme.api.models.AppAnalytics)>, ACTIVITY;<com.vtcreator.android360.activities.SignupActivity: void startCameraActivity()>, ACTIVITY;<com.vtcreator.android360.activities.SignupActivity: void onBackPressed()>, ACTIVITY;<com.vtcreator.android360.activities.SignupActivity_: boolean onKeyDown(int,android.view.KeyEvent)>, ACTIVITY;
com.vtcreator.android360	3.6.2-v5	97	19	com.dropbox.sync.android.DbxAccountManager	validateAppContext	android.permission.INTERNET",android.permission.ACCESS_NETWORK_STATE"	CUSTOM	<com.dropbox.sync.android.DbxAccountManager: com.dropbox.sync.android.DbxAccountManager getInstance(android.content.Context,com.dropbox.sync.android.DbxConfig)>, CUSTOM;<com.dropbox.sync.android.DbxAccountManager: com.dropbox.sync.android.DbxAccountManager getInstance(android.content.Context,java.lang.String,java.lang.String)>, CUSTOM;<com.vtcreator.android360.activities.PanoramaEditActivity: void uploadToDropbox()>, ACTIVITY;<com.vtcreator.android360.activities.PanoramaEditActivity: void onActivityResult(int,int,android.content.Intent)>, ACTIVITY;
com.rongxin.lehua	3.4.0	3400	14	com.umeng.update.UmengUpdateAgent	c	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,android.permission.INTERNET	CUSTOM	<com.umeng.update.UmengUpdateAgent: void b(android.content.Context)>, CUSTOM;<com.umeng.update.UmengUpdateAgent: void update(android.content.Context)>, CUSTOM;<com.rongxin.bystage.utils.l: void a(com.rongxin.bystage.dialogs.j)>, CUSTOM;<com.rongxin.bystage.setting.SettingActivity: void onClick(android.view.View)>, ACTIVITY;
com.rongxin.lehua	3.4.0	3400	14	com.umeng.update.net.c	a	android.permission.ACCESS_NETWORK_STATE"	CUSTOM	<com.umeng.update.net.DownloadingService: int onStartCommand(android.content.Intent,int,int)>, SERVICE;
com.rongxin.lehua	3.4.0	3400	14	a.b.a	f	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<a.b.o: org.json.JSONObject b(android.content.Context)>, CUSTOM;<a.b.g: void a(org.json.JSONObject)>, CUSTOM;<a.b.g: boolean a(com.umeng.fb.model.UserTitleReply)>, CUSTOM;<a.b.g: boolean a(com.umeng.fb.model.Reply)>, CUSTOM;<com.umeng.fb.model.Conversation$1: void run()>, CUSTOM;<com.umeng.fb.model.Conversation: void sync(com.umeng.fb.model.Conversation$SyncListener)>, CUSTOM;<com.rongxin.bystage.setting.ConversationActivity: void b()>, ACTIVITY;<com.rongxin.bystage.system.BaseActivity: void onCreate(android.os.Bundle)>, ACTIVITY;<com.rongxin.bystage.mainselectgoods.activity.GoodsSearchActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.rongxin.lehua	3.4.0	3400	14	com.umeng.message.proguard.g	a	android.permission.WRITE_SETTINGS,android.permission.INTERNET,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WAKE_LOCK,android.permission.WAKE_LOCK,android.permission.READ_PHONE_STATE,android.permission.READ_PHONE_STATE,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_NETWORK_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.CHANGE_WIFI_STATE,android.permission.GET_TASKS,android.permission.GET_TASKS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECEIVE_BOOT_COMPLETED	CUSTOM	<com.umeng.message.PushAgent: void enable()>, CUSTOM;<com.rongxin.bystage.main.activity.MainActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.rongxin.lehua	3.4.0	3400	14	a.c.a	c	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<a.c.a: boolean d(android.content.Context)>, CUSTOM;<com.umeng.update.UpdateDialogActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.redcat.shandiangou	3.3.2	141	20	com.umeng.update.UmengUpdateAgent	c	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,android.permission.INTERNET	CUSTOM	<com.umeng.update.UmengUpdateAgent: void b(android.content.Context)>, CUSTOM;<com.umeng.update.UmengUpdateAgent: void update(android.content.Context)>, CUSTOM;<com.redcat.shandiangou.activity.WorkspaceActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
com.redcat.shandiangou	3.3.2	141	20	com.umeng.update.net.c	a	android.permission.ACCESS_NETWORK_STATE"	CUSTOM	<com.umeng.update.net.DownloadingService: int onStartCommand(android.content.Intent,int,int)>, SERVICE;
com.redcat.shandiangou	3.3.2	141	20	u.upd.a	j	android.permission.ACCESS_NETWORK_STATE",	CUSTOM	<u.upd.a: boolean k(android.content.Context)>, CUSTOM;<com.umeng.update.UmengUpdateAgent: void b(android.content.Context)>, CUSTOM;<com.umeng.update.UmengUpdateAgent: void update(android.content.Context)>, CUSTOM;<com.redcat.shandiangou.activity.WorkspaceActivity: void onCreate(android.os.Bundle)>, ACTIVITY;
